1863,2,7,Saturday,DWR_1863_02-5.jpg
NAIRN,29.74,39,3,0.23
ABERDEEN,29.77,42,4,0
LEITH,29.89,45,3,0
ARDROSSAN,29.99,45,2,0.15
PORTRUSH,30.03,44,999,0
GALWAY,30.18,47,2,0.1
VALENTIA,30.28,50,1,0.09
QUEENSTOWN,30.28,49,1,0
HOLYHEAD,30.16,48,1,0
LIVERPOOL,30.14,49,3,0
PEMBROKE,30.29,49,1,0
PENZANCE,30.36,50,1,0
JERSEY,999,999,999,999
BREST,30.36,50,0,0.2
LORIENT,30.36,50,0,0.04
ROCHEFORT,30.39,45,1,0
PLYMOUTH,30.33,50,1,0
WEYMOUTH,30.29,49,1,0
PORTSMOUTH,30.27,49,2,0.08
KEW,30.26,49,2,0
LONDON,30.25,49,1,0
YARMOUTH,30.15,48,1,0
SCARBOROUGH,30.01,47,2,0.26
SHIELDS,29.92,49,4,0
HELIGOLAND,29.98,44,0,0
COPENHAGEN,29.61,45,999,0
HELDER,30.12,48,999,0
BAYONNE,999,43,999,0
OPORTO,999,999,999,999
LISBON,30.28,45,999,0
