1863,1,6,Tuesday,DWR_1863_01-4.jpg
NAIRN,29.02,33,1,0
ABERDEEN,29.01,37,1,0
LEITH,29.06,37,2,0
ARDROSSAN,29.04,35,1,0.11
PORTRUSH,28.99,34,1,0
GALWAY,28.92,36,1,0
VALENTIA,28.96,34,1,0.2
QUEENSTOWN,28.94,38,1,0.51
HOLYHEAD,28.92,41,1,0.35
LIVERPOOL,29.05,38,2,0.01
PEMBROKE,28.97,41,1,0.17
PENZANCE,29.01,39,1,0.25
BREST,29.1,45,2,1.1
JERSEY,29.14,45,2,0.32
LORIENT,29.05,48,4,0.67
ROCHEFORT,29.27,46,2,0.59
PLYMOUTH,29.01,43,2,0.25
WEYMOUTH,29.07,44,2,0.5
PORTSMOUTH,29.09,43,1,1
KEW,29.13,41,1,0
LONDON,29.12,43,1,0.3
YARMOUTH,29.16,43,1,0.65
SCARBOROUGH,29.09,38,1,0
SHIELDS,29.09,39,2,0
HELIGOLAND,29.38,42,0,0
COPENHAGEN,29.6,36,999,0
HELDER,29.26,43,999,0
BAYONNE,999,46,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
