1861,12,18,Wednesday,DWR_1861_12-16.jpg
NAIRN,30.16,41,40,999
ABERDEEN,30.06,41,40,999
LEITH,30.11,46,43,999
BERWICK,30.02,46,43,999
ARDROSSAN,30.14,46,44,999
PORTRUSH,30.18,49,47,999
SHIELDS,?29.95,45,44,999
GALWAY,30.27,45,44,999
SCARBOROUGH,29.9,45,44,0.17
LIVERPOOL,30.06,46,45,0.03
VALENTIA,30.32,46,45,999
QUEENSTOWN,30.27,45,44,999
YARMOUTH,29.87,45,44,999
LONDON,29.98,46,44,999
DOVER,29.92,47,45,999
PORTSMOUTH,30.03,46,44,999
PORTLAND,30.08,46,45,999
PLYMOUTH,30.17,48,45,999
PENZANCE,30.21,48,47,999
COPENHAGEN,29.4,37,999,999
HELDER,29.74,44,999,999
BREST,30.18,48,999,999
BAYONNE,30.23,52,999,999
LISBON,30.03,51,999,999
