1863,6,22,Monday,DWR_1863_06-19.jpg
NAIRN,29.83,59,5,0.43
ABERDEEN,29.87,56,4,0
LEITH,29.89,59,4,0
ARDROSSAN,29.88,58,2,0.46
GREENCASTLE,29.81,59,3,0.22
GALWAY,999,999,999,999
VALENTIA,29.6,58,0,1.05
QUEENSTOWN,29.82,57,0,0.43
SHIELDS,29.99,60,4,0
SCARBOROUGH,29.98,62,3,0
LIVERPOOL,29.99,63,6,0.12
HOLYHEAD,29.96,55,1,0.18
PEMBROKE,29.99,56,0,0.16
PENZANCE,30.04,58,1,0
BREST,30.12,57,1,0
LORIENT,30.16,61,3,0
ROCHEFORT,30.24,59,2,0
BAYONNE,30.08,66,999,0
PLYMOUTH,30.08,59,0,0
WEYMOUTH,30.09,57,1,0.06
PORTSMOUTH,30.07,60,2,0
LONDON,30.09,60,2,0.01
DOVER,30.11,60,2,0.25
YARMOUTH,30.04,63,3,0
HELDER,30.06,59,999,0
HELIGOLAND,30.03,57,1,0
COPENHAGEN,29.98,61,999,0
LISBON,999,999,999,999
