1862,4,7,Monday,DWR_1862_04-5.jpg
NAIRN,30.22,39,36,0
ABERDEEN,30.26,41,38,0
LEITH,30.24,45,41,0
BERWICK,30.28,45,42,0.48
ARDROSSAN,30.22,43,41,0.45
PORTRUSH,30.14,46,45,0
GALWAY,30.14,53,52,0
SHIELDS,30.26,45,42,0
SCARBOROUGH,30.25,44,42,0.33
HELIGOLAND,30.29,44,41,0.31
LIVERPOOL,30.21,45,44,0.23
QUEENSTOWN,?30.15,56,55,0
VALENTIA,30.17,54,53,0.56
YARMOUTH,30.19,45,44,0
LONDON,30.16,50,48,0.23
DOVER,30.16,52,51,0.25
PORTSMOUTH,30.12,51,50,0.09
PORTLAND,30.17,52,51,0.45
PLYMOUTH,30.17,50,49,0.28
PENZANCE,30.2,53,52,0
JERSEY,30.23,53,51,0.36
COPENHAGEN,999,999,999,999
HELDER,30.23,44,999,0
BREST,30.23,50,999,0
BAYONNE,999,54,999,0
LISBON,30.17,60,999,0
