1863,1,15,Thursday,DWR_1863_01-12.jpg
NAIRN,30.4,43,1,0
ABERDEEN,30.44,35,1,0
LEITH,30.49,42,1,0
ARDROSSAN,30.53,44,3,0.12
PORTRUSH,30.52,43,1,0
GALWAY,30.54,42,1,0
VALENTIA,30.55,42,1,0
QUEENSTOWN,30.44,44,1,0
HOLYHEAD,30.49,45,1,0
LIVERPOOL,30.52,40,0,0
PEMBROKE,30.49,40,1,0
PENZANCE,30.47,44,1,0
BREST,30.35,43,4,0
JERSEY,30.34,42,999,0.05
LORIENT,30.24,41,2,0
ROCHEFORT,30.15,39,2,0
PLYMOUTH,30.44,39,2,0
WEYMOUTH,30.42,39,2,0
PORTSMOUTH,30.39,40,2,0
KEW,30.44,39,2,0
LONDON,30.4,38,2,0
YARMOUTH,30.47,40,2,0
SCARBOROUGH,30.5,37,1,0
SHIELDS,30.59,39,2,0
HELIGOLAND,30.49,36,1,0
COPENHAGEN,30.43,35,999,0
HELDER,30.45,40,999,0
BAYONNE,999,41,999,0
OPORTO,999,999,999,999
LISBON,30.19,43,999,0
