1862,5,13,Tuesday,DWR_1862_05-11.jpg
NAIRN,30.04,49,43,0
ABERDEEN,29.99,45,41,0.08
LEITH,30,47,999,0
BERWICK,30.03,54,50,0
ARDROSSAN,30,50,48,0
PORTRUSH,30.01,51,50,0
GALWAY,30.05,53,49,0
SHIELDS,30,48,45,0
SCARBOROUGH,29.94,51,49,0
HELIGOLAND,29.83,54,51,0
LIVERPOOL,30,52,47,0.01
QUEENSTOWN,30.03,51,49,0
VALENTIA,30.06,57,52,0
YARMOUTH,29.91,51,48,0
LONDON,29.91,51,47,0
DOVER,29.86,53,51,0
PORTSMOUTH,29.87,52,48,0.07
PORTLAND,29.89,53,50,0.1
PLYMOUTH,29.87,56,52,0
PENZANCE,29.95,54,52,0
JERSEY,29.82,55,52,0
COPENHAGEN,29.74,49,999,0
HELDER,29.86,52,999,0
BREST,29.83,51,999,0
BAYONNE,999,57,999,0
LISBON,30.13,60,999,0
