1862,4,29,Tuesday,DWR_1862_04-24.jpg
NAIRN,30.14,57,51,
ABERDEEN,30.23,53,50,0
LEITH,30.24,52,49,0
BERWICK,30.29,53,49,0
ARDROSSAN,30.21,52,50,0
PORTRUSH,30.19,50,48,0
GALWAY,30.19,58,53,0
SHIELDS,30.3,52,48,0
SCARBOROUGH,30.3,55,51,0
HELIGOLAND,30.41,55,50,0
LIVERPOOL,30.3,51,50,0
QUEENSTOWN,30.14,56,55,0
VALENTIA,30.08,57,53,0
YARMOUTH,30.36,52,49,0
LONDON,30.33,56,52,0
DOVER,30.36,58,55,0
PORTSMOUTH,30.25,55,50,0
PORTLAND,30.25,56,51,0
PLYMOUTH,30.16,58,52,0
PENZANCE,30.19,56,52,0
JERSEY,30.21,55,50,0
COPENHAGEN,30.33,41,999,0
HELDER,30.39,51,999,0
BREST,30.06,56,999,0
BAYONNE,999,66,999,0
LISBON,29.89,66,999,0
