1862,9,18,Thursday,DWR_1862_09-16.jpg
NAIRN,30.3,59,55,0
ABERDEEN,30.35,54,52,0
LEITH,30.42,56,53,0
BERWICK,30.46,55,51,0
ARDROSSAN,30.41,57,54,0
PORTRUSH,30.48,60,58,0
GALWAY,30.47,57,55,0
VALENTIA,30.49,54,53,0
QUEENSTOWN,30.48,54,52,0
HOLYHEAD,30.46,63,60,0
LIVERPOOL,30.51,51,49,0
PEMBROKE,30.49,51,49,0
PENZANCE,30.47,57,56,0
PLYMOUTH,30.44,58,52,0
JERSEY,30.38,60,57,0
WEYMOUTH,30.42,53,49,0
PORTSMOUTH,30.39,54,50,0
DOVER,30.39,999,999,0
LONDON,30.44,54,51,0
YARMOUTH,30.45,60,57,0
SHIELDS,30.48,49,47,0
SCARBOROUGH,30.56,53,51,0
HELIGOLAND,30.47,58,56,0
HELDER,30.44,59,999,0
COPENHAGEN,999,999,999,999
BREST,30.23,58,999,0
BAYONNE,999,61,999,0
LISBON,999,999,999,999
