1863,5,21,Thursday,DWR_1863_05-17.jpg
NAIRN,30.45,46,2,0
ABERDEEN,30.42,47,4,0
LEITH,30.4,46,3,0
ARDROSSAN,30.42,46,3,0
PORTRUSH,30.38,48,2,0
GALWAY,30.32,48,2,0
VALENTIA,30.23,53,5,0
QUEENSTOWN,30.24,50,0,0.19
HOLYHEAD,30.26,49,4,0
LIVERPOOL,30.33,48,6,0
PEMBROKE,30.24,49,2,0.28
PENZANCE,30.19,51,1,0
BREST,30.08,54,3,0
LORIENT,30.04,54,3,0
ROCHEFORT,30,41,4,0
PLYMOUTH,30.18,51,3,0
WEYMOUTH,30.17,49,2,0.24
PORTSMOUTH,30.14,50,2,0.45
KEW,30.2,51,3,0
LONDON,30.19,52,2,0.13
DOVER,30.13,51,2,0.25
YARMOUTH,30.23,52,3,0
SCARBOROUGH,30.34,50,4,0
SHIELDS,30.4,48,4,0
HELIGOLAND,30.2,49,2,0
COPENHAGEN,999,999,999,999
HELDER,30.19,53,999,0
LISBON,29.86,63,999,0
