1863,11,9,Monday,DWR_1863_11-8.jpg
NAIRN,30.37,31,999,0.53
ABERDEEN,30.38,38,2,0.37
LEITH,30.39,40,2,0.6
SHIELDS,30.36,49,4,2.8
SCARBOROUGH,30.3,44,2,1.06
GREENCASTLE,30.41,37,1,1.32
GALWAY,30.41,37,1,0.17
VALENTIA,30.39,42,999,0.45
QUEENSTOWN,30.27,45,1,0
LIVERPOOL,30.37,39,2,0.59
HOLYHEAD,30.34,48,2,0.35
PEMBROKE,30.34,42,2,0.34
PENZANCE,30.31,48,2,0.6
BREST,30.16,48,4,0.75
LORIENT,30.04,46,3,0.2
ROCHEFORT,29.92,48,0,0.08
PLYMOUTH,30.28,45,3,0
WEYMOUTH,30.24,43,2,0.08
PORTSMOUTH,30.14,46,2,0.09
LONDON,30.17,42,3,0.42
DOVER,30.11,48,2,1
YARMOUTH,30.16,46,3,1.1
HELIGOLAND,30.19,39,2,0.03
