1862,5,7,Wednesday,DWR_1862_05-7.jpg
NAIRN,29.54,48,47,0
ABERDEEN,29.5,50,48,0
LEITH,29.55,54,51,0
BERWICK,29.58,54,51,0
ARDROSSAN,29.59,52,51,0.9
PORTRUSH,29.63,52,51,0
GALWAY,?29.60,57,55,0
SHIELDS,29.64,53,51,0.07
SCARBOROUGH,29.72,54,51,0.11
HELIGOLAND,30.02,58,53,0
LIVERPOOL,29.79,55,50,0.91
QUEENSTOWN,29.72,57,56,0
VALENTIA,29.65,53,52,0.45
YARMOUTH,29.92,56,52,0
LONDON,29.94,54,50,0.54
DOVER,29.95,64,60,0.47
PORTSMOUTH,29.96,54,52,0.82
PORTLAND,29.94,55,53,0.09
PLYMOUTH,29.87,57,55,0
PENZANCE,29.92,56,54,0
JERSEY,30.05,56,53,0
COPENHAGEN,30,56,999,0
HELDER,29.99,55,999,0
BREST,29.95,55,999,0
BAYONNE,999,64,999,0
LISBON,30.09,62,999,0
