1863,1,13,Tuesday,DWR_1863_01-10.jpg
NAIRN,29.78,33,1,0.11
ABERDEEN,29.79,45,1,0.2
LEITH,29.81,42,2,999
ARDROSSAN,29.81,39,1,0.45
PORTRUSH,29.78,40,3,0
GALWAY,29.68,41,1,0.25
VALENTIA,29.85,45,1,0.41
QUEENSTOWN,29.88,43,0,0.47
HOLYHEAD,29.83,47,1,0.12
LIVERPOOL,29.88,37,2,0.16
PEMBROKE,29.94,40,1,0.72
PENZANCE,30.02,44,2,0.65
BREST,30.11,46,1,0.55
JERSEY,30.04,48,2,0.22
LORIENT,30.04,50,2,999
ROCHEFORT,30.14,43,2,0
PLYMOUTH,29.98,44,1,0.7
WEYMOUTH,29.95,45,3,0.38
PORTSMOUTH,29.9,45,1,0.34
KEW,29.92,43,0,0
LONDON,29.91,44,1,0.6
YARMOUTH,29.9,43,1,1.13
SCARBOROUGH,29.88,35,1,0.26
SHIELDS,29.89,38,3,0
HELIGOLAND,30.14,38,1,0
COPENHAGEN,30.15,35,999,0
HELDER,30.03,38,999,0
BAYONNE,999,38,999,0
OPORTO,999,999,999,999
LISBON,30.28,41,999,0
