1862,12,18,Thursday,DWR_1862_12-17.jpg
NAIRN,29.72,47,1,0
ABERDEEN,29.8,44,1,0
LEITH,29.86,48,2,0
BERWICK,29.95,47,2,0
ARDROSSAN,29.86,48,1,0.23
PORTRUSH,999,999,999,999
GALWAY,30.21,49,1,0.4
VALENTIA,30.38,50,1,0.08
QUEENSTOWN,30.34,50,2,0
HOLYHEAD,30.17,48,1,0.22
LIVERPOOL,30.21,45,2,0
PEMBROKE,30.35,49,1,0.19
PENZANCE,30.49,47,1,0.35
PLYMOUTH,30.45,46,1,0.25
JERSEY,30.51,39,1,0.07
WEYMOUTH,30.4,48,3,0.28
PORTSMOUTH,30.38,46,2,0.28
DOVER,30.41,40,2,0.28
LONDON,30.34,41,1,0.07
YARMOUTH,30.3,46,1,0
SCARBOROUGH,30.12,43,2,0
SHIELDS,30,45,3,0
HELIGOLAND,30.17,43,1,0
HELDER,30.26,43,999,0
COPENHAGEN,30.01,33,999,0
BREST,30.52,46,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,46,999,0
LISBON,999,999,999,999
