1863,1,12,Monday,DWR_1863_01-9.jpg
NAIRN,29.88,33,1,0.17
ABERDEEN,29.96,37,2,0.28
LEITH,29.96,40,3,0.17
ARDROSSAN,29.92,40,1,0.12
PORTRUSH,29.81,40,1,0
GALWAY,29.78,44,2,0.25
VALENTIA,29.85,44,999,0.55
QUEENSTOWN,29.86,45,1,999
HOLYHEAD,29.92,42,1,0.15
LIVERPOOL,30.05,35,2,0
PEMBROKE,29.99,48,1,0
SCARBOROUGH,30.08,36,1,0
PENZANCE,30.01,48,1,0.08
BREST,30.12,46,2,0.13
JERSEY,30.2,44,1,0
LORIENT,30.12,45,4,0.2
ROCHEFORT,30.24,39,1,0.17
PLYMOUTH,30.04,47,2,0.47
WEYMOUTH,30.1,46,2,0
PORTSMOUTH,30.15,38,999,0
KEW,30.18,23,999,0.06
LONDON,30.16,29,1,0
YARMOUTH,30.18,40,1,0
SHIELDS,30.08,39,4,0
HELIGOLAND,30.05,40,0,0
COPENHAGEN,999,999,999,999
HELDER,30.12,42,999,0
BAYONNE,999,38,999,0
OPORTO,999,999,999,999
LISBON,30.26,42,999,0
