1862,2,20,Thursday,DWR_1862_02-19.jpg
NAIRN,29.18,49,47,0
ABERDEEN,29.31,45,44,0.11
LEITH,29.24,51,49,0
BERWICK,29.35,46,45,0
ARDROSSAN,29.2,47,45,0.28
PORTRUSH,29.08,46,44,0
GALWAY,29.07,45,43,0
SHIELDS,29.39,48,47,0
SCARBOROUGH,29.46,46,45,0.4
HELIGOLAND,29.85,38,37,0
LIVERPOOL,29.33,50,48,0.01
QUEENSTOWN,29.24,48,47,0
VALENTIA,29.06,47,44,0.4
YARMOUTH,29.59,46,45,?0.13
LONDON,29.56,51,49,0
DOVER,29.62,49,48,0
PORTSMOUTH,29.52,49,47,0.22
PORTLAND,29.5,50,48,0.09
PLYMOUTH,29.37,50,48,0
PENZANCE,29.38,50,48,0.35
COPENHAGEN,999,999,999,999
HELDER,29.73,45,999,0
BREST,29.48,51,999,0
BAYONNE,29.83,62,999,0
LISBON,29.97,56,999,0
