1862,12,19,Friday,DWR_1862_12-18.jpg
NAIRN,29.15,39,3,0.3
ABERDEEN,29.16,39,2,0
LEITH,29.36,43,3,0.1
BERWICK,29.34,44,2,0
ARDROSSAN,29.48,44,3,0.75
PORTRUSH,999,999,999,999
GALWAY,999,999,999,999
VALENTIA,999,999,999,999
QUEENSTOWN,30.08,49,1,0
HOLYHEAD,29.76,48,4,0
LIVERPOOL,29.7,47,4,0.05
PEMBROKE,29.98,50,5,0.18
PENZANCE,30.11,52,1,0
PLYMOUTH,30.07,52,3,0
JERSEY,30.07,53,3,0
WEYMOUTH,29.91,50,3,0.09
PORTSMOUTH,29.81,50,3,0.12
DOVER,29.74,51,3,0.1
LONDON,29.74,47,5,0.08
YARMOUTH,29.56,45,4,0
SCARBOROUGH,29.46,44,4,0.35
SHIELDS,29.49,43,4,0
HELIGOLAND,29.15,41,0,0.35
HELDER,29.39,46,999,0
COPENHAGEN,28.8,36,999,0
BREST,30.26,50,1,0.04
BREST2,30.22,51,999,0
ROCHEFORT,30.32,48,2,0
BAYONNE,999,47,999,0
LISBON,999,999,999,999
