1862,6,23,Monday,DWR_1862_06-26.jpg
NAIRN,29.81,53,48,0
ABERDEEN,29.78,52,48,0
LEITH,29.85,56,49,0
BERWICK,29.84,55,51,0.39
ARDROSSAN,29.82,52,49,0.24
PORTRUSH,29.76,51,49,0
GALWAY,29.86,60,58,0
VALENTIA,30.02,55,54,0.14
QUEENSTOWN,29.94,61,60,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.87,55,52,0.1
PENZANCE,29.99,57,56,0
PLYMOUTH,29.88,60,55,0
JERSEY,29.93,58,55,0
PORTLAND,29.86,59,55,0.06
PORTSMOUTH,29.8,57,53,0
DOVER,29.75,59,55,0
LONDON,29.79,56,53,0.06
YARMOUTH,29.72,55,53,0.5
SCARBOROUGH,29.8,55,53,0.2
SHIELDS,29.83,52,49,0
HELIGOLAND,29.46,52,51,0
HELDER,29.62,53,999,0
COPENHAGEN,999,999,999,999
BREST,29.98,55,999,0
BAYONNE,999,61,999,0
LISBON,999,999,999,999
