1862,9,30,Tuesday,DWR_1862_09-27.jpg
NAIRN,29.51,58,55,0
ABERDEEN,29.51,999,999,0.15
LEITH,29.57,59,56,0
BERWICK,29.53,58,57,0
ARDROSSAN,29.47,59,57,0.23
PORTRUSH,29.42,58,55,0
GALWAY,29.35,54,51,0.7
VALENTIA,29.51,52,50,0.52
QUEENSTOWN,29.57,55,53,0.54
HOLYHEAD,29.55,62,57,0
LIVERPOOL,29.66,58,55,0
PEMBROKE,29.67,57,53,0.17
PENZANCE,29.8,58,57,0
PLYMOUTH,29.81,62,56,0.19
JERSEY,29.92,59,58,0.27
WEYMOUTH,29.82,61,58,0.07
PORTSMOUTH,29.81,61,59,0.54
DOVER,29.88,999,999,0
LONDON,29.85,61,59,0.45
YARMOUTH,29.76,60,59,0.75
SCARBOROUGH,29.67,59,57,0.9
SHIELDS,29.59,58,56,0.55
HELIGOLAND,29.92,62,61,0
HELDER,29.87,61,999,0
COPENHAGEN,30.02,58,999,0
BREST,29.88,59,999,0
BAYONNE,999,64,999,0
LISBON,999,999,999,999
