1862,6,14,Saturday,DWR_1862_06-13.jpg
NAIRN,29.4,50,49,0.84
ABERDEEN,29.3,52,51,0.26
LEITH,29.36,55,53,0
BERWICK,29.38,55,52,0.38
ARDROSSAN,29.4,55,999,0.4
PORTRUSH,29.54,54,52,999
GALWAY,29.61,59,55,0
SHIELDS,29.39,56,53,0
SCARBOROUGH,29.45,55,52,0
HELIGOLAND,29.67,60,55,0
LIVERPOOL,29.56,54,51,0.08
QUEENSTOWN,29.66,54,52,0
VALENTIA,29.69,57,52,0.13
YARMOUTH,29.61,55,52,0
LONDON,29.66,57,54,0.06
DOVER,29.72,62,61,0
PORTSMOUTH,29.7,56,55,0.13
PORTLAND,29.71,57,54,0.06
PLYMOUTH,29.7,59,55,0.16
PENZANCE,29.78,56,51,0.25
JERSEY,29.85,58,54,0
COPENHAGEN,999,999,999,999
HELDER,29.67,57,999,0
BREST,29.83,54,999,0
BAYONNE,999,61,999,0
LISBON,30.22,65,999,0
