1862,9,15,Monday,DWR_1862_09-13.jpg
NAIRN,30.11,45,43,0
ABERDEEN,30.13,49,46,0
LEITH,30.14,50,47,0
BERWICK,30.15,55,51,0
ARDROSSAN,30.12,51,49,0.52
PORTRUSH,30.13,59,56,0
GALWAY,30.14,49,47,0.35
VALENTIA,30.13,54,50,0.32
QUEENSTOWN,30.04,55,54,0.51
HOLYHEAD,30.03,55,53,0.75
LIVERPOOL,30.08,55,52,0.51
PEMBROKE,29.97,58,57,0.26
PENZANCE,29.91,57,56,0
PLYMOUTH,29.91,59,56,1.37
JERSEY,29.89,60,58,0.15
WEYMOUTH,29.93,59,56,0.53
PORTSMOUTH,29.91,61,57,0.52
DOVER,29.97,999,999,0
LONDON,29.98,59,57,0.08
YARMOUTH,30.02,62,59,0
SCARBOROUGH,30.12,55,54,0.8
SHIELDS,30.1,53,51,0
HELIGOLAND,30.05,61,60,0
HELDER,30.03,62,999,0
COPENHAGEN,30,59,999,0
BREST,29.87,53,999,0
BAYONNE,999,62,999,0
LISBON,999,999,999,999
