1862,7,28,Monday,DWR_1862_07-27.jpg
NAIRN,29.84,55,54,0.23
ABERDEEN,29.77,56,50,0
LEITH,29.83,59,54,0
BERWICK,30,54,51,0
ARDROSSAN,29.99,55,53,0.13
PORTRUSH,30.03,54,52,0
GALWAY,30.16,56,54,0
VALENTIA,30.22,63,56,0
QUEENSTOWN,30.18,58,55,0
HOLYHEAD,30.11,57,53,0
LIVERPOOL,30.15,57,56,0
PEMBROKE,30.18,57,53,0
PENZANCE,30.22,60,59,0
PLYMOUTH,30.17,58,53,0
JERSEY,30.2,61,57,0
WEYMOUTH,30.18,61,56,0
PORTSMOUTH,30.16,60,55,0
DOVER,30.15,63,62,0
LONDON,30.18,57,53,0
YARMOUTH,30.14,61,56,0
SCARBOROUGH,?30.11,57,54,0
SHIELDS,30.07,55,50,0
HELIGOLAND,30.12,59,57,0
HELDER,30.14,61,999,0
COPENHAGEN,?30.07,59,999,0
BREST,30.16,57,999,0
BAYONNE,999,76,999,0
LISBON,30.06,73,999,0
