1863,2,23,Monday,DWR_1863_02-18.jpg
NAIRN,30.06,47,2,0.17
ABERDEEN,30.03,50,4,0
LEITH,30.03,48,2,0
ARDROSSAN,30.26,47,5,0.15
PORTRUSH,30.29,40,2,0
GALWAY,30.43,48,0,0.15
VALENTIA,30.48,47,2,0.15
QUEENSTOWN,30.47,47,1,0
HOLYHEAD,30.37,46,1,0.18
LIVERPOOL,30.35,45,2,0.06
PEMBROKE,30.46,41,2,0.17
PENZANCE,30.49,45,1,0
BREST,30.43,37,0,0.04
LORIENT,30.32,39,1,0
ROCHEFORT,30.39,36,2,0
PLYMOUTH,30.48,44,2,0
WEYMOUTH,30.44,40,1,0
PORTSMOUTH,30.38,43,2,0.13
KEW,30.4,35,1,0
LONDON,30.39,38,2,0.01
YARMOUTH,30.34,37,2,0
SCARBOROUGH,30.22,?32,2,0
SHIELDS,30.22,46,2,0
HELIGOLAND,30.15,40,0,0
COPENHAGEN,29.9,35,999,0
HELDER,30.26,42,999,0
BAYONNE,999,36,999,0
LISBON,30.29,48,999,0
