1863,8,1,Saturday,DWR_1863_08-0.jpg
NAIRN,30.19,57,2,0
ABERDEEN,30.2,58,4,0
LEITH,30.18,59,3,0
SHIELDS,30.26,56,4,0
SCARBOROUGH,30.24,56,3,0
GREENCASTLE,30.08,59,4,0
GALWAY,29.91,64,3,0
VALENTIA,29.79,61,1,0.16
QUEENSTOWN,29.9,60,1,0
LIVERPOOL,30.15,57,5,0
HOLYHEAD,30.02,61,4,0
PEMBROKE,30.02,61,5,0
PENZANCE,29.98,62,3,0
BREST,29.96,68,8,0
LORIENT,29.92,66,8,0
ROCHEFORT,29.92,66,2,0
PLYMOUTH,30,63,6,0
WEYMOUTH,30.06,64,4,0
PORTSMOUTH,30.19,62,4,0
LONDON,30.16,62,5,0
DOVER,30.18,62,3,0
YARMOUTH,30.21,61,5,0
HELIGOLAND,30.2,55,2,0
