1861,12,27,Friday,DWR_1861_12-25.jpg
NAIRN,?30.54,26,999,999
ABERDEEN,30.59,37,36,999
LEITH,30.58,35,33,999
BERWICK,30.57,31,999,999
ARDROSSAN,30.58,33,32,999
PORTRUSH,30.53,32,30,999
SHIELDS,30.6,37,36,999
GALWAY,30.43,37,36,999
SCARBOROUGH,30.59,42,40,999
LIVERPOOL,30.58,36,35,999
VALENTIA,30.34,46,45,999
QUEENSTOWN,30.4,46,45,999
YARMOUTH,30.61,39,38,999
LONDON,30.57,34,32,999
DOVER,30.53,43,41,999
PORTSMOUTH,30.52,36,35,999
PORTLAND,30.47,37,35,999
PLYMOUTH,30.35,40,38,999
PENZANCE,30.4,44,42,999
COPENHAGEN,30.55,32,999,999
HELDER,30.62,35,999,999
BREST,30.32,33,999,999
BAYONNE,30.15,36,999,999
LISBON,999,999,999,999
