1862,6,2,Monday,DWR_1862_06-0.jpg
NAIRN,29.99,49,47,0
ABERDEEN,29.99,51,49,0
LEITH,29.99,48,47,0
BERWICK,30.03,54,50,0
ARDROSSAN,29.96,56,54,0
PORTRUSH,29.98,56,53,0
GALWAY,30.01,59,57,0
SHIELDS,29.97,50,47,0
SCARBOROUGH,30.05,51,49,0
HELIGOLAND,30,57,55,0
LIVERPOOL,30.1,60,55,0
QUEENSTOWN,30.04,60,59,0
VALENTIA,30.04,58,57,999
YARMOUTH,30.05,54,52,0
LONDON,30.08,57,53,0
DOVER,30.05,57,55,0
PORTSMOUTH,30.1,57,55,0
PORTLAND,30.09,59,56,0
PLYMOUTH,30.05,63,58,0
PENZANCE,30.12,59,58,0
JERSEY,30.13,60,57,0
COPENHAGEN,30.16,60,999,0
HELDER,30.02,53,999,0
BREST,30.12,55,999,0
BAYONNE,999,57,999,0
LISBON,30.21,65,999,0
