1862,6,3,Tuesday,DWR_1862_06-2.jpg
NAIRN,29.9,56,51,0
ABERDEEN,29.9,56,53,0
LEITH,29.9,56,52,0
BERWICK,29.94,59,54,0
ARDROSSAN,29.89,56,999,0
PORTRUSH,29.94,56,999,0
GALWAY,30,60,57,0
SHIELDS,29.96,58,55,0
SCARBOROUGH,30,57,53,0
HELIGOLAND,30.07,52,51,0
LIVERPOOL,30,59,55,0
QUEENSTOWN,30.02,59,57,0.19
VALENTIA,30.08,60,55,999
YARMOUTH,30.05,58,54,0
LONDON,30.1,60,53,0
DOVER,30.12,59,58,0
PORTSMOUTH,30.11,60,57,0
PORTLAND,30.12,58,56,0.07
PLYMOUTH,30.04,58,57,0
PENZANCE,30.08,59,58,0.3
JERSEY,30.19,63,59,0
COPENHAGEN,29.98,59,999,0
HELDER,30.07,59,999,0
BREST,30.15,57,999,0
BAYONNE,999,59,999,0
LISBON,30.27,68,999,0
