1862,1,24,Friday,DWR_1862_01-23.jpg
NAIRN,29.13,40,38,999
ABERDEEN,29.19,42,41,0.16
LEITH,29.13,41,39,999
BERWICK,29.24,40,39,999
ARDROSSAN,29.02,41,40,999
PORTRUSH,28.87,41,40,999
SHIELDS,29.22,42,40,999
GALWAY,28.72,42,41,999
SCARBOROUGH,29.29,41,40,0.45
LIVERPOOL,29.15,43,41,0.08
VALENTIA,28.9,45,44,2.6
QUEENSTOWN,28.84,48,47,999
YARMOUTH,?29.49,44,43,999
LONDON,29.47,47,45,0.06
DOVER,29.51,48,47,?0.50
PORTSMOUTH,29.45,47,45,0.2
PORTLAND,29.41,49,46,0.2
PLYMOUTH,29.31,49,45,999
PENZANCE,29.31,49,47,0.6
COPENHAGEN,29.65,31,999,999
HELDER,29.64,39,999,999
BREST,29.52,50,999,999
BAYONNE,29.84,60,999,999
LISBON,29.97,58,999,999
