1863,7,17,Friday,DWR_1863_07-14.jpg
NAIRN,30,54,7,0
ABERDEEN,29.98,53,9,0
LEITH,30,58,7,0
SHIELDS,30.04,58,3,0
SCARBOROUGH,29.98,55,5,0
GREENCASTLE,30.13,55,5,0
GALWAY,30.2,58,6,0
VALENTIA,30.19,60,6,0
QUEENSTOWN,30.16,60,2,0
LIVERPOOL,30.08,59,9,0
HOLYHEAD,30.09,54,5,0
PEMBROKE,30.13,59,6,0
PENZANCE,30.15,63,4,0
BREST,30.12,59,1,0
LORIENT,30.04,61,2,0
ROCHEFORT,30.04,68,5,0
PLYMOUTH,30.11,64,3,0
WEYMOUTH,30.09,61,4,0
PORTSMOUTH,30.08,62,5,0
LONDON,30.09,57,5,0
DOVER,30.07,65,5,0
YARMOUTH,30.04,56,5,0
HELDER,30.02,53,999,0
HELIGOLAND,29.89,52,2,0.08
