1862,9,6,Saturday,DWR_1862_09-5.jpg
NAIRN,29.85,57,55,0
ABERDEEN,29.88,54,53,0
LEITH,29.89,58,54,0
BERWICK,29.93,57,53,0
ARDROSSAN,29.9,60,54,0
PORTRUSH,29.93,58,56,0
GALWAY,29.99,58,57,0
VALENTIA,30.05,59,57,0
QUEENSTOWN,30.02,57,56,0
HOLYHEAD,29.95,58,55,0
LIVERPOOL,29.99,56,54,0
PEMBROKE,30,57,56,0
PENZANCE,30.07,58,57,0
PLYMOUTH,30.02,57,55,0.23
JERSEY,30.03,56,53,0
WEYMOUTH,29.99,59,55,0
PORTSMOUTH,29.94,58,55,0
DOVER,29.94,59,57,0.4
LONDON,29.93,56,54,0.07
YARMOUTH,29.92,57,55,0.8
SCARBOROUGH,29.92,55,53,0
SHIELDS,29.93,55,53,0
HELIGOLAND,29.86,60,59,0
HELDER,29.77,60,999,0
COPENHAGEN,29.94,64,999,0
BREST,30.03,45,999,0
BAYONNE,999,58,999,0
LISBON,30.06,65,999,0
