1862,4,22,Tuesday,DWR_1862_04-17.jpg
NAIRN,29.38,52,49,0
ABERDEEN,29.5,48,47,0.13
LEITH,29.43,53,50,0
BERWICK,29.5,52,50,0
ARDROSSAN,29.31,50,49,0.36
PORTRUSH,29.35,50,49,0
GALWAY,29.31,58,55,0
SHIELDS,29.54,53,49,0
SCARBOROUGH,29.66,53,51,0
HELIGOLAND,29.91,46,45,0
LIVERPOOL,29.57,53,50,0
QUEENSTOWN,29.42,56,55,0
VALENTIA,29.49,51,50,0.86
YARMOUTH,29.8,55,52,0
LONDON,29.8,56,52,0
DOVER,29.86,59,56,0
PORTSMOUTH,29.79,55,52,0
PORTLAND,29.76,54,52,0
PLYMOUTH,29.65,53,52,0
PENZANCE,29.65,53,52,0.18
JERSEY,29.89,57,53,0
COPENHAGEN,29.82,42,999,0
HELDER,29.9,49,999,0
BREST,29.83,54,999,0
BAYONNE,999,60,999,0
LISBON,999,999,999,999
