1863,2,5,Thursday,DWR_1863_02-3.jpg
NAIRN,29.7,37,2,0.25
ABERDEEN,29.72,39,4,0.07
LEITH,29.83,41,2,0.18
ARDROSSAN,29.9,44,2,0.4
PORTRUSH,29.95,44,1,0
GALWAY,30.11,47,1,999
VALENTIA,30.21,49,1,0.09
QUEENSTOWN,30.2,48,1,0
HOLYHEAD,30.07,46,2,0
LIVERPOOL,30.08,45,3,0.05
PEMBROKE,30.19,48,2,0.1
PENZANCE,30.29,49,1,0.25
JERSEY,999,999,999,999
BREST,30.36,50,0,0.08
LORIENT,30.32,52,1,0.08
ROCHEFORT,30.47,45,0,0
PLYMOUTH,30.26,50,1,0.17
WEYMOUTH,30.24,49,2,0.07
PORTSMOUTH,30.19,48,2,0.08
KEW,30.15,46,4,0
LONDON,30.12,44,3,0.04
YARMOUTH,30.01,42,3,0
SCARBOROUGH,29.93,40,2,0
SHIELDS,29.92,42,4,0
HELIGOLAND,29.64,42,1,0.39
COPENHAGEN,29.4,38,999,0
HELDER,29.87,43,999,0
BAYONNE,999,42,999,0
LISBON,30.45,50,999,0
