1863,2,25,Wednesday,DWR_1863_02-20.jpg
NAIRN,30.01,44,3,0.09
ABERDEEN,30.06,49,3,0
LEITH,30.15,47,2,0
ARDROSSAN,30.23,46,4,0
PORTRUSH,30.21,40,2,0
GALWAY,30.3,47,1,0
VALENTIA,30.37,47,1,0.15
QUEENSTOWN,30.36,51,1,0.15
HOLYHEAD,30.34,47,1,0
LIVERPOOL,30.35,46,3,0.01
PEMBROKE,30.43,46,1,0
PENZANCE,30.46,48,1,0
BREST,30.39,46,2,0
LORIENT,30.36,43,1,0
ROCHEFORT,30.39,36,1,0
PLYMOUTH,30.46,48,2,0.24
WEYMOUTH,30.46,47,2,0
PORTSMOUTH,30.43,45,2,0
KEW,30.46,34,0,0
LONDON,30.43,34,0,0
YARMOUTH,30.43,41,1,0
SCARBOROUGH,30.31,45,2,0
SHIELDS,30.27,47,3,0
HELIGOLAND,30.38,40,2,0
COPENHAGEN,30.24,37,999,0
HELDER,30.41,43,999,0
BAYONNE,999,43,999,0
LISBON,30.22,52,999,0
