1862,4,9,Wednesday,DWR_1862_04-7.jpg
NAIRN,30.24,46,45,0
ABERDEEN,30.28,42,41,0
LEITH,30.25,44,42,0
BERWICK,30.3,42,40,0
ARDROSSAN,30.23,48,46,0
PORTRUSH,30.13,49,48,0
GALWAY,30.21,53,52,0
SHIELDS,30.29,44,41,0
SCARBOROUGH,30.25,44,42,0
HELIGOLAND,30.23,46,43,0
LIVERPOOL,30.24,50,44,0
QUEENSTOWN,30.17,55,54,0
VALENTIA,30.2,54,51,0
YARMOUTH,30.12,44,43,0.47
LONDON,30.13,44,42,0.59
DOVER,30.07,48,47,0.25
PORTSMOUTH,30.09,44,43,0.37
PORTLAND,30.13,45,43,0
PLYMOUTH,30.12,50,47,0
PENZANCE,30.16,50,49,0
JERSEY,30.13,47,46,0
COPENHAGEN,30.33,37,999,0
HELDER,30.1,47,999,0
BREST,30.11,48,999,0
BAYONNE,999,54,999,0
LISBON,999,999,999,999
