1862,6,29,Sunday,DWR_1862_06-32.jpg
NAIRN,29.74,56,52,0
ABERDEEN,29.77,58,53,0
LEITH,29.81,57,53,0
BERWICK,29.84,58,54,0
ARDROSSAN,29.8,56,53,0
PORTRUSH,29.85,52,50,0
GALWAY,29.99,?66,56,0
VALENTIA,30.15,56,54,0.25
QUEENSTOWN,29.99,66,63,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.98,57,54,0.01
PENZANCE,30.13,59,58,0
PLYMOUTH,30.07,61,58,0
JERSEY,30.15,64,59,0
PORTLAND,30.07,59,56,0
PORTSMOUTH,30.04,56,53,0
DOVER,999,999,999,999
LONDON,30.03,57,51,0
YARMOUTH,29.98,56,53,0
SCARBOROUGH,29.92,56,54,0
SHIELDS,29.84,52,49,0
HELIGOLAND,29.73,54,53,0.64
HELDER,29.91,55,999,0
COPENHAGEN,999,999,999,999
BREST,30.16,55,999,0
BAYONNE,999,62,999,0
LISBON,30.11,68,999,0
