1862,10,11,Saturday,DWR_1862_10-9.jpg
NAIRN,29.92,42,41,0
ABERDEEN,29.93,51,50,0
LEITH,29.89,53,52,0
BERWICK,29.94,55,47,0
ARDROSSAN,29.83,53,51,0
PORTRUSH,29.98,58,55,0
GALWAY,29.74,55,54,0
VALENTIA,29.67,57,56,1.02
QUEENSTOWN,29.73,58,56,0.37
HOLYHEAD,29.82,57,56,0.15
LIVERPOOL,29.88,56,55,0.15
PEMBROKE,29.85,57,56,0.37
PENZANCE,29.89,59,58,0.33
PLYMOUTH,29.9,59,57,0.25
JERSEY,29.96,56,54,0.5
WEYMOUTH,29.91,59,57,0.07
PORTSMOUTH,29.88,58,57,1.1
DOVER,29.9,59,58,0
LONDON,29.9,57,56,0.68
YARMOUTH,29.89,59,57,0
SCARBOROUGH,29.95,54,53,0
SHIELDS,29.92,56,54,0
HELIGOLAND,30.06,51,50,0
HELDER,999,999,999,999
COPENHAGEN,30.1,53,999,0
BREST,29.96,59,999,0
BAYONNE,999,999,999,0
LISBON,30.13,62,999,0
