1862,1,17,Friday,DWR_1862_01-17.jpg
NAIRN,?29.75,40,38,999
ABERDEEN,29.89,39,38,0.24
LEITH,29.84,41,38,999
BERWICK,29.87,32,31,999
ARDROSSAN,29.8,42,40,0.18
PORTRUSH,29.75,42,40,999
SHIELDS,29.99,34,32,999
GALWAY,29.82,41,40,999
SCARBOROUGH,30.06,32,31,999
LIVERPOOL,29.93,35,33,999
VALENTIA,29.87,41,40,1.24
QUEENSTOWN,29.76,42,41,999
YARMOUTH,30.11,31,999,999
LONDON,30.06,31,999,999
DOVER,30.1,28,999,999
PORTSMOUTH,30.08,37,35,999
PORTLAND,29.99,41,37,999
PLYMOUTH,29.86,43,41,999
PENZANCE,29.82,47,46,999
COPENHAGEN,30.22,20,999,999
HELDER,30.25,22,999,999
BREST,29.88,40,999,999
BAYONNE,30.01,32,999,999
LISBON,999,999,999,999
