1863,2,12,Thursday,DWR_1863_02-9.jpg
NAIRN,29.92,40,2,0
ABERDEEN,29.93,41,4,0.1
LEITH,30.07,43,3,0
ARDROSSAN,30.18,44,1,0.27
PORTRUSH,30.21,43,2,0
GALWAY,30.38,40,1,0.1
VALENTIA,30.42,41,1,0.16
QUEENSTOWN,30.4,40,1,0.19
HOLYHEAD,30.32,45,2,0.1
LIVERPOOL,30.32,42,1,0.03
PEMBROKE,30.39,38,2,0.09
PENZANCE,30.41,43,1,0
JERSEY,999,999,999,999
BREST,30.36,41,0,0
LORIENT,30.36,34,1,0
ROCHEFORT,999,999,999,999
PLYMOUTH,30.39,44,2,0
WEYMOUTH,30.37,45,1,0.06
PORTSMOUTH,30.3,47,1,0
KEW,30.35,42,1,0
LONDON,30.31,43,2,0.01
YARMOUTH,30.27,43,2,0
SCARBOROUGH,30.22,38,2,0
SHIELDS,30.23,41,3,0
HELIGOLAND,30.07,42,1,0
COPENHAGEN,29.85,40,999,0
HELDER,30.27,44,999,0
BAYONNE,999,40,999,0
OPORTO,999,999,999,999
LISBON,30.22,49,999,0
