1863,2,9,Monday,DWR_1863_02-6.jpg
NAIRN,29.94,34,2,0.15
ABERDEEN,29.95,34,3,0
LEITH,30.02,38,3,0
ARDROSSAN,30.02,40,2,0.3
PORTRUSH,30.04,40,1,0
GALWAY,30.12,42,1,0.06
VALENTIA,30.19,42,1,0.15
QUEENSTOWN,30.21,42,1,0
HOLYHEAD,30.15,41,1,0.15
LIVERPOOL,30.16,41,2,0.03
PEMBROKE,30.23,38,2,0
PENZANCE,30.28,38,1,0
JERSEY,999,999,999,999
BREST,30.28,41,0,0.2
LORIENT,30.2,37,1,0.08
ROCHEFORT,30.2,43,1,0
PLYMOUTH,30.26,38,2,0
WEYMOUTH,30.25,37,2,0
PORTSMOUTH,30.21,39,3,0
KEW,30.22,32,1,0
LONDON,30.19,34,2,0.06
YARMOUTH,30.12,36,2,0
SCARBOROUGH,30.08,35,2,0
SHIELDS,30.06,36,3,0
HELIGOLAND,29.78,39,1,0.15
COPENHAGEN,29.58,35,999,0
HELDER,30,41,999,0
BAYONNE,999,46,999,0
OPORTO,999,999,999,999
LISBON,30.27,48,999,0
