1863,4,29,Wednesday,DWR_1863_04-24.jpg
NAIRN,30.03,41,3,0.15
ABERDEEN,29.93,44,5,0.35
LEITH,29.98,46,6,0
ARDROSSAN,30.06,44,4,0
PORTRUSH,30.12,45,2,0
GALWAY,30.22,47,3,0.1
VALENTIA,30.25,47,2,0.25
QUEENSTOWN,30.19,48,1,0
HOLYHEAD,29.99,46,3,0
LIVERPOOL,29.97,48,7,0.01
PEMBROKE,30.04,45,3,0.22
PENZANCE,30.08,50,2,0
BREST,30.08,48,5,0.32
LORIENT,29.96,48,4,0.04
ROCHEFORT,29.96,50,2,0
PLYMOUTH,30,47,4,0.1
WEYMOUTH,29.94,47,3,0.08
PORTSMOUTH,29.87,48,6,0.07
KEW,29.87,48,5,0
LONDON,29.85,44,4,0.01
DOVER,29.81,44,2,0.15
YARMOUTH,29.72,46,3,0.35
SCARBOROUGH,29.78,44,2,0.42
SHIELDS,29.89,43,3,0
HELIGOLAND,29.43,40,0,0.25
COPENHAGEN,29.48,45,999,0
HELDER,29.59,44,999,0
LISBON,29.94,62,999,0
