1862,5,14,Wednesday,DWR_1862_05-12.jpg
NAIRN,29.94,47,44,0
ABERDEEN,29.99,45,43,0
LEITH,29.98,49,48,0
BERWICK,30.02,51,47,0
ARDROSSAN,29.94,50,48,0
PORTRUSH,29.9,50,48,0
GALWAY,29.86,54,52,0
SHIELDS,30.01,48,46,0
SCARBOROUGH,30,49,46,0
HELIGOLAND,29.97,53,50,0
LIVERPOOL,29.98,50,47,0
QUEENSTOWN,29.85,56,54,0
VALENTIA,29.81,54,52,999
YARMOUTH,29.96,50,48,0
LONDON,29.92,52,49,0
DOVER,29.89,53,52,0
PORTSMOUTH,29.9,51,48,0
PORTLAND,29.9,52,48,0
PLYMOUTH,29.87,53,50,0
PENZANCE,29.91,54,53,0
JERSEY,29.87,52,49,0
COPENHAGEN,999,999,999,999
HELDER,999,999,999,999
BREST,999,999,999,999
BAYONNE,999,999,999,999
LISBON,999,999,999,999
