1863,12,14,Monday,DWR_1863_12-11.jpg
NAIRN,30.17,47,3,0
ABERDEEN,30.19,45,4,0.11
LEITH,30.28,48,2,0
SHIELDS,30.31,50,3,0
SCARBOROUGH,30.31,46,2,0
GREENCASTLE,30.4,48,1,0.12
GALWAY,30.44,48,1,0.17
VALENTIA,30.43,49,0,0.19
CAPE CLEAR,30.44,52,1,0
QUEENSTOWN,30.37,52,1,0
LIVERPOOL,30.45,50,2,0
HOLYHEAD,30.44,51,2,0
PEMBROKE,30.5,51,1,0
PENZANCE,30.55,50,0,0
BREST,999,999,999,999
LORIENT,30.43,48,2,0
ROCHEFORT,30.47,45,2,0.08
PLYMOUTH,30.51,51,1,0
WEYMOUTH,30.49,49,1,0
PORTSMOUTH,30.48,46,2,0
LONDON,30.45,38,1,0
DOVER,30.46,48,2,0
YARMOUTH,30.38,42,1,0
HELIGOLAND,30.12,45,0,0
