1863,9,5,Saturday,DWR_1863_09-4.jpg
NAIRN,29.55,52,1,0
ABERDEEN,29.57,53,1,0
LEITH,29.59,55,2,0.1
SHIELDS,29.7,54,3,0
SCARBOROUGH,29.72,50,1,0
GREENCASTLE,29.55,52,1,0.5
GALWAY,29.71,53,4,999
VALENTIA,29.78,56,5,999
QUEENSTOWN,999,59,2,0.19
LIVERPOOL,29.73,55,3,0.09
HOLYHEAD,29.65,56,2,0
PEMBROKE,29.73,57,0,0.31
PENZANCE,29.81,59,1,0.15
BREST,29.96,59,2,0.24
LORIENT,30,61,3,0
ROCHEFORT,30.2,59,1,0.47
PLYMOUTH,29.83,61,3,0.19
WEYMOUTH,29.86,60,3,0
PORTSMOUTH,29.85,59,4,999
LONDON,29.87,55,4,0
DOVER,29.88,999,999,0.6
YARMOUTH,29.82,56,2,0
HELIGOLAND,29.75,58,0,0.82
