1863,8,17,Monday,DWR_1863_08-14.jpg
NAIRN,29.42,56,3,0.17
ABERDEEN,29.41,58,3,0.12
LEITH,29.46,58,3,0.11
SHIELDS,29.56,58,5,0
SCARBOROUGH,29.6,58,4,0.11
GREENCASTLE,29.6,55,2,0.46
GALWAY,29.79,57,3,0.6
VALENTIA,29.88,59,6,999
QUEENSTOWN,29.79,59,2,999
LIVERPOOL,29.63,58,5,0.05
HOLYHEAD,29.61,55,3,0.15
PEMBROKE,29.75,61,5,0.25
PENZANCE,29.84,59,1,0.45
BREST,29.92,57,4,0.04
LORIENT,29.88,59,4,0.16
ROCHEFORT,30.04,66,1,0.12
PLYMOUTH,29.81,61,4,0
WEYMOUTH,29.8,60,5,0
PORTSMOUTH,29.74,61,3,0.43
LONDON,29.74,60,5,0.01
DOVER,29.74,999,999,0
YARMOUTH,29.69,62,3,0
HELIGOLAND,29.75,62,2,0
