1862,9,16,Tuesday,DWR_1862_09-14.jpg
NAIRN,30.38,54,50,0
ABERDEEN,30.38,53,49,0
LEITH,30.35,52,49,0
BERWICK,30.37,52,42,0
ARDROSSAN,30.34,54,51,0
PORTRUSH,30.36,58,55,0
GALWAY,30.38,51,49,0
VALENTIA,30.28,56,53,0
QUEENSTOWN,30.33,53,51,0
HOLYHEAD,30.29,58,56,0
LIVERPOOL,30.33,55,51,0
PEMBROKE,30.28,57,56,0
PENZANCE,30.25,61,59,0
PLYMOUTH,30.22,60,55,0
JERSEY,30.12,60,57,0
WEYMOUTH,30.2,56,53,0
PORTSMOUTH,30.16,58,55,0
DOVER,30.14,999,999,0
LONDON,30.21,59,56,0
YARMOUTH,30.22,59,56,0
SCARBOROUGH,30.32,55,52,0
SHIELDS,30.35,49,47,0
HELIGOLAND,30.16,58,57,0
HELDER,30.16,62,999,0
COPENHAGEN,30.17,59,999,0
BREST,30.08,60,999,0
BAYONNE,999,62,999,0
LISBON,999,999,999,999
