1863,11,27,Friday,DWR_1863_11-31.jpg
NAIRN,29.97,54,4,0.14
ABERDEEN,30.14,49,1,0
LEITH,30.12,54,4,0
SHIELDS,30.31,50,2,0
SCARBOROUGH,30.37,47,1,0
GREENCASTLE,30.03,52,1,0.04
GALWAY,30.05,53,0,0.25
VALENTIA,30.03,54,0,1.06
QUEENSTOWN,29.99,54,1,0
LIVERPOOL,30.31,51,2,0
HOLYHEAD,30.2,52,0,0
PEMBROKE,30.28,52,1,0
PENZANCE,30.29,53,1,0
BREST,30.28,48,1,0
LORIENT,30.24,46,0,0
ROCHEFORT,30.28,43,0,0
PLYMOUTH,30.32,52,1,0
WEYMOUTH,30.35,51,1,0
PORTSMOUTH,30.38,51,2,0
LONDON,30.41,50,2,0
DOVER,30.43,48,1,0
YARMOUTH,30.44,49,1,0
HELIGOLAND,30.64,40,0,0
