1863,6,2,Tuesday,DWR_1863_06-1.jpg
NAIRN,30.01,60,1,0.2
ABERDEEN,30.04,61,3,0
LEITH,30.04,59,2,0
ARDROSSAN,30.02,58,2,0.12
GREENCASTLE,29.93,58,6,0.3
GALWAY,29.94,57,1,0.35
VALENTIA,29.93,57,2,0
QUEENSTOWN,29.97,61,3,0
SHIELDS,30.14,59,4,0
SCARBOROUGH,30.18,54,3,0
LIVERPOOL,30.12,60,5,0.09
HOLYHEAD,30.04,55,4,0
PEMBROKE,30.08,58,4,0
PENZANCE,30.07,59,1,0
BREST,30.04,63,6,0
LORIENT,30,63,7,0
ROCHEFORT,30.12,63,2,0
BAYONNE,29.88,68,999,0
PLYMOUTH,30.08,61,5,0
WEYMOUTH,30.12,59,5,0
PORTSMOUTH,30.11,57,4,0
LONDON,30.17,56,4,0
DOVER,30.02,59,3,0
YARMOUTH,30.22,57,4,0
HELDER,30.25,56,999,0
HELIGOLAND,30.3,52,2,0
COPENHAGEN,30.33,53,999,0
LISBON,29.99,72,999,0
