1862,5,12,Monday,DWR_1862_05-10.jpg
NAIRN,29.63,49,46,0
ABERDEEN,29.58,47,44,0.71
LEITH,29.6,50,47,0
BERWICK,29.63,51,47,0
ARDROSSAN,29.58,51,48,0
PORTRUSH,29.65,51,50,0
GALWAY,29.76,56,51,0
SHIELDS,29.6,50,47,0
SCARBOROUGH,29.59,53,50,0.51
HELIGOLAND,29.63,49,48,0
LIVERPOOL,29.64,52,50,0.04
QUEENSTOWN,29.75,53,51,0
VALENTIA,29.83,53,50,0.1
YARMOUTH,29.61,51,49,0
LONDON,29.63,51,49,0.1
DOVER,29.63,58,56,0
PORTSMOUTH,29.62,53,51,0.17
PORTLAND,29.64,55,52,0.1
PLYMOUTH,29.62,54,52,0
PENZANCE,29.72,55,54,0
JERSEY,29.63,54,53,0.34
COPENHAGEN,999,999,999,999
HELDER,29.62,53,999,0
BREST,29.61,53,999,0
BAYONNE,999,57,999,0
LISBON,30.08,61,999,0
