1862,2,4,Tuesday,DWR_1862_02-2.jpg
NAIRN,29.77,50,47,999
ABERDEEN,29.81,42,40,999
LEITH,29.93,51,49,999
BERWICK,29.91,50,48,999
ARDROSSAN,30.04,49,48,0.18
PORTRUSH,30.05,47,45,999
SHIELDS,30,51,49,999
GALWAY,30.16,51,50,999
SCARBOROUGH,30.04,49,48,999
LIVERPOOL,30.16,51,50,0.02
VALENTIA,30.21,52,51,0.1
QUEENSTOWN,30.23,?54,53,999
YARMOUTH,30.17,49,48,999
LONDON,30.21,51,49,999
DOVER,30.26,49,48,999
PORTSMOUTH,30.32,50,49,999
PORTLAND,30.31,50,49,999
PLYMOUTH,30.33,52,51,999
PENZANCE,30.37,52,51,999
COPENHAGEN,29.79,36,999,999
HELDER,30.13,43,999,999
BREST,30.42,51,999,999
BAYONNE,30.54,48,999,999
LISBON,999,999,999,999
