1863,2,28,Saturday,DWR_1863_02-26.jpg
NAIRN,30.14,35,2,0
ABERDEEN,30.17,37,2,0
LEITH,30.18,41,2,0
ARDROSSAN,30.2,42,0,0.15
PORTRUSH,30.07,40,1,0
GALWAY,29.95,49,1,0
VALENTIA,29.94,49,0,0.34
QUEENSTOWN,30.06,51,1,0.53
HOLYHEAD,30.15,47,1,0.08
LIVERPOOL,30.2,48,1,0
PEMBROKE,30.21,47,1,0
PENZANCE,30.22,50,1,0
BREST,30.24,43,2,0
LORIENT,30.2,39,1,0
ROCHEFORT,30.28,36,2,0
PLYMOUTH,30.25,48,2,0
WEYMOUTH,30.28,43,1,0
PORTSMOUTH,30.29,41,2,0
KEW,30.31,37,0,0
LONDON,30.3,38,0,0
YARMOUTH,30.28,44,1,0
SCARBOROUGH,30.23,44,1,0
SHIELDS,30.26,41,3,0
HELIGOLAND,30.19,42,0,0
COPENHAGEN,30.04,43,999,0
HELDER,30.26,43,999,0
BAYONNE,999,39,999,0
LISBON,30.33,54,999,0
