1862,4,19,Saturday,DWR_1862_04-15.jpg
NAIRN,29.16,53,49,0
ABERDEEN,29.26,48,47,0
LEITH,29.34,55,51,0
BERWICK,29.44,52,48,0
ARDROSSAN,29.3,48,47,0.38
PORTRUSH,29.3,50,49,0
GALWAY,29.44,54,52,0
SHIELDS,29.52,51,49,0
SCARBOROUGH,29.64,50,48,0.15
HELIGOLAND,29.79,45,44,0
LIVERPOOL,29.67,52,49,0.04
QUEENSTOWN,29.59,54,999,0
VALENTIA,29.54,52,51,0.2
YARMOUTH,29.8,53,50,0
LONDON,29.88,52,49,0
DOVER,29.91,51,50,0
PORTSMOUTH,29.91,52,51,0
PORTLAND,29.9,52,51,0.06
PLYMOUTH,29.86,52,51,0
PENZANCE,29.89,53,51,0
JERSEY,30.01,53,51,0
COPENHAGEN,29.75,49,999,0
HELDER,29.83,49,999,0
BREST,29.97,52,999,0
BAYONNE,999,51,999,0
LISBON,30.1,60,999,0
