1863,1,31,Saturday,DWR_1863_01-28.jpg
NAIRN,29.36,37,3,0.13
ABERDEEN,29.2,39,2,0.17
LEITH,29.36,43,3,0
ARDROSSAN,29.43,42,2,0
PORTRUSH,29.45,45,2,0
GALWAY,29.59,41,2,0.1
VALENTIA,29.7,43,999,0.17
QUEENSTOWN,29.63,42,1,0.52
HOLYHEAD,29.41,43,2,0.15
LIVERPOOL,29.36,44,2,0.08
PEMBROKE,29.45,44,2,0.25
PENZANCE,29.54,46,1,0.3
JERSEY,999,999,999,999
BREST,29.49,48,0,0.2
LORIENT,29.57,52,1,0.16
ROCHEFORT,29.76,46,2,0
PLYMOUTH,29.44,48,2,0.38
WEYMOUTH,29.42,48,2,1.05
PORTSMOUTH,29.43,48,2,0.19
KEW,29.43,47,1,0
LONDON,29.43,48,1,0.16
YARMOUTH,29.39,46,1,0
SCARBOROUGH,29.29,42,1,0
SHIELDS,29.32,43,2,0
HELIGOLAND,29.36,43,0,0.23
COPENHAGEN,29.23,43,999,0
HELDER,29.42,45,999,0
BAYONNE,999,53,999,0
OPORTO,999,999,999,999
LISBON,30.12,52,999,0
