1862,3,29,Saturday,DWR_1862_03-23.jpg
NAIRN,29.34,37,36,0
ABERDEEN,29.34,38,37,0.2
LEITH,29.31,41,40,0
BERWICK,29.28,43,41,0
ARDROSSAN,29.28,41,40,0
PORTRUSH,29.22,44,42,0
GALWAY,29.11,51,50,0
SHIELDS,29.26,42,41,0
SCARBOROUGH,29.23,42,41,0
HELIGOLAND,29.21,37,36,0
LIVERPOOL,29.27,44,43,0
QUEENSTOWN,29.17,52,51,0
VALENTIA,29.17,52,51,0
YARMOUTH,29.21,44,43,0
LONDON,29.25,45,43,0
DOVER,29.17,46,44,0
PORTSMOUTH,29.21,48,46,0
PORTLAND,29.25,47,46,0.06
PLYMOUTH,29.21,50,49,0.12
PENZANCE,29.24,50,45,0.37
JERSEY,29.27,46,999,0
COPENHAGEN,29.18,34,999,0
HELDER,29.17,45,999,0
BREST,29.26,46,999,0
BAYONNE,999,53,999,0
LISBON,999,999,999,0
