1863,6,15,Monday,DWR_1863_06-13.jpg
NAIRN,29.89,55,3,0.2
ABERDEEN,29.9,57,5,0
LEITH,29.96,54,1,0
ARDROSSAN,29.91,57,2,0.14
GREENCASTLE,29.9,57,7,0.65
GALWAY,29.96,57,0,0.5
VALENTIA,29.99,56,1,999
QUEENSTOWN,30.03,60,2,0.46
SHIELDS,30.03,61,4,0
SCARBOROUGH,29.98,60,2,0
LIVERPOOL,29.99,60,2,0
HOLYHEAD,29.95,57,1,0.24
PEMBROKE,30.05,57,2,0.14
PENZANCE,30.14,57,1,0
BREST,30.16,59,3,0.04
LORIENT,30.04,57,0,0
ROCHEFORT,30.24,59,2,0.04
BAYONNE,30.04,66,999,0
PLYMOUTH,30.11,59,2,0
WEYMOUTH,30.07,60,4,0.07
PORTSMOUTH,30.03,61,4,0.07
LONDON,30.01,59,5,0.14
DOVER,30.03,67,5,0
YARMOUTH,29.94,61,9,0
HELDER,29.94,58,999,0
HELIGOLAND,29.93,54,1,0.18
COPENHAGEN,29.94,57,999,0
LISBON,999,999,999,999
