1863,3,19,Thursday,DWR_1863_03-16.jpg
NAIRN,30.01,39,3,0
ABERDEEN,30.02,39,2,0
LEITH,30.05,42,4,0
ARDROSSAN,30.11,42,1,0.16
PORTRUSH,30.13,41,0,0
GALWAY,30.21,46,1,0.1
VALENTIA,30.26,47,0,0.39
QUEENSTOWN,30.28,45,1,0
HOLYHEAD,30.16,44,1,0.3
LIVERPOOL,30.15,43,2,0.03
PEMBROKE,30.23,43,2,0.41
PENZANCE,30.31,45,1,0
BREST,30.28,45,3,1.18
LORIENT,30.1,43,3,0.32
ROCHEFORT,30.16,37,1,0.16
PLYMOUTH,30.24,41,2,0.54
WEYMOUTH,30.2,44,3,0.7
PORTSMOUTH,30.13,40,4,0
KEW,30.12,39,2,0
LONDON,30.09,41,2,0
YARMOUTH,30.04,37,1,0
SCARBOROUGH,30.03,41,2,0
SHIELDS,30.07,41,3,0
HELIGOLAND,29.87,38,0,0
COPENHAGEN,29.75,35,999,0
HELDER,29.98,40,999,0
LISBON,999,999,999,999
