1863,7,16,Thursday,DWR_1863_07-13.jpg
NAIRN,30.31,51,6,0.09
ABERDEEN,30.23,52,6,0
LEITH,30.3,56,8,0
SHIELDS,30.31,54,6,0
SCARBOROUGH,30.26,58,6,0
GREENCASTLE,30.3,55,5,0
GALWAY,30.32,58,2,0
VALENTIA,30.26,67,4,0
QUEENSTOWN,30.26,64,2,0
LIVERPOOL,30.27,56,2,0
HOLYHEAD,30.19,59,2,0
PEMBROKE,30.23,61,4,0
PENZANCE,30.2,67,2,0
BREST,30.12,64,4,0
LORIENT,30.08,66,6,0
ROCHEFORT,30.04,68,5,0
PLYMOUTH,30.19,69,5,0
WEYMOUTH,30.18,63,3,0
PORTSMOUTH,30.16,64,5,0
LONDON,30.2,62,6,0
DOVER,30.22,61,2,0
YARMOUTH,30.23,57,7,0
HELDER,30.14,55,999,0
HELIGOLAND,29.99,52,3,0
