1863,7,25,Saturday,DWR_1863_07-21.jpg
NAIRN,29.93,54,3,0
ABERDEEN,29.9,55,6,0
LEITH,30.01,58,6,0
SHIELDS,29.9,56,4,0
SCARBOROUGH,29.84,56,1,0
GREENCASTLE,29.96,55,2,0.13
GALWAY,30.01,63,0,0
VALENTIA,30.04,60,1,0.09
QUEENSTOWN,30.01,62,2,0
LIVERPOOL,30.01,58,1,0.21
HOLYHEAD,29.92,58,1,0.25
PEMBROKE,30.02,59,2,0
PENZANCE,30.08,60,2,0
BREST,30.12,59,2,0
LORIENT,30.12,59,2,0
ROCHEFORT,30.24,61,2,0
PLYMOUTH,30.06,61,4,0
WEYMOUTH,30.02,60,3,0
PORTSMOUTH,30,61,5,0
LONDON,29.98,63,5,0
DOVER,29.98,64,3,0
YARMOUTH,29.88,60,4,0
HELDER,29.86,60,999,0
HELIGOLAND,29.8,55,2,0
