1872,1,9,Tuesday,DWR_1872_01-13.jpg,,,,,
CHRISTIANSUND,29.63,34,27,999,999,999,999,999,999
SKUDDESNAES,29.6,37,32,999,999,999,999,999,999
THURSO,29.6,38,37,999,999,0.2,999,999,999
WICK,29.61,40,39,999,999,0.14,999,999,999
OXO,29.63,34,31,999,999,999,999,999,999
NAIRN,29.58,39,38,999,999,0.09,999,999,999
ABERDEEN,29.59,40,39,999,999,0.05,999,999,999
LEITH,29.57,35,33,999,999,0,999,999,999
ARDROSSAN,29.56,36,35,999,999,0.12,999,999,999
GREENCASTLE,29.6,39,39,999,999,0.26,999,999,999
SHIELDS,29.4,35,34,999,999,0,999,999,999
SCARBOROUGH,29.41,35,34,999,999,0,999,999,999
LIVERPOOL,29.58,37,36,999,999,0.11,999,999,999
HOLYHEAD,29.59,42,40,999,999,0,999,999,999
HELDER,29.28,40,999,999,999,0,999,999,999
YARMOUTH,29.41,33,33,999,999,0,999,999,999
VALENTIA,29.81,46,44,999,999,0.19,999,999,999
ROCHESPOINT,29.76,41,39,999,999,0.03,999,999,999
PEMBROKE,29.64,43,41,999,999,0.05,999,999,999
LONDON,29.47,35,34,999,999,0.04,999,999,999
DOVER,29.41,36,35,999,999,0,999,999,999
CAPGRISNEZ,29.44,37,35,999,999,0.28,999,999,999
PORTSMOUTH,29.51,37,36,999,999,0.11,999,999,999
PLYMOUTH,29.63,41,40,999,999,0.16,999,999,999
PENZANCE,999,999,999,999,999,999,999,999,999
SCILLY,29.75,47,44,999,999,0.01,999,999,999
BREST,999,46,44,999,999,0,999,999,999
LORIENT,29.69,44,42,999,999,0,999,999,999
ROCHEFORT,999,999,999,999,999,999,999,999,999
BIARRITZ,999,999,999,999,999,999,999,999,999
