1863,4,30,Thursday,DWR_1863_04-25.jpg
NAIRN,30.24,44,5,0.08
ABERDEEN,30.23,43,5,0.21
LEITH,30.26,47,6,0
ARDROSSAN,30.3,46,1,0
PORTRUSH,30.33,47,2,0
GALWAY,30.39,47,3,0
VALENTIA,30.4,47,999,0
QUEENSTOWN,30.35,48,1,0
HOLYHEAD,30.28,45,1,0
LIVERPOOL,30.28,45,6,0
PEMBROKE,30.28,46,4,0.1
PENZANCE,30.26,48,4,0
BREST,30.16,46,5,0.04
LORIENT,30.04,43,3,0
ROCHEFORT,29.96,46,4,0
PLYMOUTH,30.21,47,5,0
WEYMOUTH,30.17,46,5,0
PORTSMOUTH,30.09,45,5,0.07
KEW,30.13,42,3,0
LONDON,30.11,42,2,0.03
DOVER,30.05,44,2,0.16
YARMOUTH,30.04,47,1,0
SCARBOROUGH,30.17,45,4,0.18
SHIELDS,30.26,43,3,0.35
HELIGOLAND,29.87,44,1,0.15
COPENHAGEN,29.85,46,999,999
HELDER,30.25,45,999,999
LISBON,999,999,999,999
