1862,3,22,Saturday,DWR_1862_03-17.jpg
NAIRN,29.93,32,30,0
ABERDEEN,29.92,36,34,0
LEITH,29.91,39,36,0
BERWICK,29.95,34,33,0
ARDROSSAN,29.93,39,37,0.15
PORTRUSH,29.91,41,40,0
GALWAY,29.97,40,37,0
SHIELDS,29.98,34,32,0
SCARBOROUGH,29.97,38,36,0
HELIGOLAND,29.77,28,999,0
LIVERPOOL,30.03,35,32,0
QUEENSTOWN,29.94,45,44,0
VALENTIA,29.88,45,42,0
YARMOUTH,29.96,37,35,0
LONDON,29.96,38,36,0.13
DOVER,29.94,39,38,0
PORTSMOUTH,29.94,37,33,0
PORTLAND,30.01,37,34,0.09
PLYMOUTH,29.98,39,37,0
PENZANCE,29.98,40,37,0
JERSEY,30.01,39,37,0
COPENHAGEN,29.75,26,999,0
HELDER,29.82,34,999,0
BREST,29.96,43,999,0
BAYONNE,999,48,999,0
LISBON,30.09,56,999,0
