1862,4,16,Wednesday,DWR_1862_04-13.jpg
NAIRN,29.65,47,44,0.2
ABERDEEN,29.72,41,40,0.35
LEITH,29.8,45,43,0
BERWICK,29.86,46,43,0
ARDROSSAN,29.77,45,999,0
PORTRUSH,29.86,47,45,0
GALWAY,29.98,51,50,0
SHIELDS,29.95,43,39,0
SCARBOROUGH,30.04,41,39,0
HELIGOLAND,30.15,48,44,0
LIVERPOOL,30.1,44,41,0
QUEENSTOWN,30.11,51,50,0
VALENTIA,30.11,51,50,0
YARMOUTH,30.18,42,40,0
LONDON,30.22,39,36,0
DOVER,30.22,?51,38,0
PORTSMOUTH,30.23,41,39,0
PORTLAND,30.24,44,41,0
PLYMOUTH,30.21,44,40,0
PENZANCE,30.24,45,44,0
JERSEY,30.28,44,41,0
COPENHAGEN,30.01,36,999,0
HELDER,30.17,41,999,0
BREST,30.27,39,999,0
BAYONNE,999,48,999,0
LISBON,29.93,51,999,0
