1862,5,1,Thursday,DWR_1862_05-0.jpg
NAIRN,29.89,56,51,0
ABERDEEN,29.94,49,47,0
LEITH,29.91,51,48,0
BERWICK,29.95,55,50,0
ARDROSSAN,29.89,54,51,0
PORTRUSH,29.92,54,53,0.19
GALWAY,29.99,48,47,0
SHIELDS,29.95,53,50,0
SCARBOROUGH,29.99,54,51,0
HELIGOLAND,30.33,53,49,0
LIVERPOOL,29.92,57,52,0
QUEENSTOWN,29.89,58,53,0
VALENTIA,29.96,49,46,0
YARMOUTH,30.02,54,50,0
LONDON,29.99,60,56,0
DOVER,30,62,60,0
PORTSMOUTH,29.95,57,55,0.07
PORTLAND,29.89,54,52,0.23
PLYMOUTH,29.82,60,56,0
PENZANCE,29.87,56,55,0
JERSEY,29.95,61,58,0.21
COPENHAGEN,999,999,999,999
HELDER,30.14,58,999,0
BREST,29.87,57,999,0
BAYONNE,999,67,999,0
LISBON,999,64,999,0
