1863,4,25,Saturday,DWR_1863_04-21.jpg
NAIRN,29.93,51,3,0.25
ABERDEEN,29.93,55,7,0.25
LEITH,30.05,50,3,0
ARDROSSAN,30.17,50,2,0.24
PORTRUSH,30.22,48,2,0
GALWAY,30.4,52,1,0
VALENTIA,30.46,55,3,0
QUEENSTOWN,30.43,51,1,0
HOLYHEAD,30.43,51,1,0
LIVERPOOL,30.33,50,2,0.02
PEMBROKE,30.45,52,3,0
PENZANCE,30.5,54,1,0
BREST,30.47,48,2,0
LORIENT,30.43,48,4,0
ROCHEFORT,30.47,48,4,0
PLYMOUTH,30.46,55,3,0
WEYMOUTH,30.4,52,2,0
PORTSMOUTH,30.36,52,3,0
KEW,30.33,53,3,0
LONDON,30.33,53,4,0
DOVER,30.35,59,5,0
YARMOUTH,30.2,53,4,0
SCARBOROUGH,30.14,52,2,0.35
SHIELDS,30.15,52,4,0.35
HELIGOLAND,30.03,42,0,0.17
COPENHAGEN,29.9,44,999,0
HELDER,30.11,50,999,0
LISBON,30.04,65,999,0
