1863,9,4,Friday,DWR_1863_09-3.jpg
NAIRN,29.8,48,1,0
ABERDEEN,29.82,56,1,0.25
LEITH,29.83,53,1,0.07
SHIELDS,29.87,54,3,0.1
SCARBOROUGH,29.85,57,1,0.2
GREENCASTLE,29.77,53,1,0.62
GALWAY,29.78,59,1,0
VALENTIA,29.8,57,2,0.09
QUEENSTOWN,999,56,2,0.17
LIVERPOOL,29.85,56,3,0.12
HOLYHEAD,29.78,57,2,0
PEMBROKE,29.79,56,1,0.16
PENZANCE,29.86,56,2,0
BREST,29.92,59,4,0
LORIENT,29.92,57,2,0.08
ROCHEFORT,30.08,59,0,0.24
PLYMOUTH,29.88,61,3,0
WEYMOUTH,29.88,60,4,0.06
PORTSMOUTH,29.8,59,3,0.29
LONDON,29.92,57,3,0.44
DOVER,29.98,999,999,0.35
YARMOUTH,29.88,59,1,0.6
HELIGOLAND,29.96,62,1,0
